actual_headline,mt5_headline,mbart_headline,lstm_headline
မလေးရှားဝန်ကြီးချုပ်ဟောင်း နာဂျစ်၏ ထောင်ဒဏ်ကို ထက်ဝက်လျှော့ပေး,ဒေါ်လာဘီလီယံချီ တန်ဖိုးရှိ ၁MDB ကုမ္ပဏီအရှုပ်တော်ပုံနှင့် ပတ်သက်ပြီး ထောင်ဒဏ် ၁၂ နှစ်ကျခံနေရသည့် မလေးရှားဝန်ကြီးချုပ်ဟောင်း နာဗစ်-၁၉ ရောဂါ ကျဆုံး,မလေးရှားဝန်ကြီးချုပ်ဟောင်း နာဂျစ် ထောင်ဒဏ် ၁၂ နှစ်ကျခံနေရ,မလေးရှားဝန်ကြီးချုပ်ဟောင်းဟောင်းကိုထောင်ဒဏ်ထောင်ဒဏ်ချမှတ်
မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်း နမ်ဖိုသင်္ဘောကျင်းကို စစ်ဆေး,မြောက်ကိုရီးယားခေါင်းဆောင် ကင်မ်ဂျုံအန်း နမ်ဖိုသင်္ဘောကျင်းကို စစ်ဆေး,နမ်ဖိုသင်္ဘောကျင်းကို ကင်မ်ဂျုံအန်းစစ်ဆေး,မြောက်ကိုရီးယားခေါင်းဆောင်ကင်မ်ဂျုံအန်းကိုကင်မ်ဂျုံအန်းကိုကင်မ်ဂျုံအန်းစစ်ခေါင်းဆောင်
နစ်ကီဟေလီက ပြိုင်ဘက် ထရမ့်နှင့် ဘိုင်ဒင်တို့ကို “ကကျီကကြောင် အဘိုးကြီးများ”ဟု ဝေဖန်,ရီပတ်ဘလစ်ကန်သမ္မတလောင်း ရွေးကောက်ပွဲတွင် ဆက်ရှင်ကျန်ရန် တိုက်ပွဲဝင်နေရသည့် နစ်ကီဟေလီနှင့် လက်ရှိဒီမိုကရက်တစ်သမ္မတ ဂျိုးဘိုင်ဒင်တို့ ဆန္ဒပြ,နစ်ကီဟေလီက ပြိုင်ဘက်ထရမ့်နှင့် ဒီမိုကရက်တစ်သမ္မတတို့ကို ဂျိုးဘိုင်ဒင်တို့ တို့ကို အနိုင်ရအရှုံးပေါ်,လီလီလီနှင့်အမ္မတဘိုင်ဒင်နှင့်အမ္မတလောင်းကိုအအအအအ
ကင်ညာတွင် ဓာတ်ငွေ့ပေါက်ကွဲမီးလောင်ပြီး လူ ၂ ဦးသေဆုံး၊ ၁၆၀ ကျော် ဒဏ်ရာရ,ကင်ညာတွင် ဓာတ်ငွေ့ပေါက်ကွဲမှုကြောင့် လူ ၂ ဦးသေဆုံး၊ ၁၆၅ ဦးထက်မနည်း ဒဏ်ရာရ,ကင်ညာတွင် ဓာတ်ငွေ့ပေါက်ကွဲမီးလောင်ပြီး လူ ၂ ဦး သေဆုံး,ကင်ညာရေးတွင်တွင်ပေါက်ကွဲပြီးလောင်ပြီးလူ၁ဦးသေဆုံး
အကြမ်းဖက်မှုတွင်ပါဝင်သည့် အစ္စရေးအမျိုးသား ၄ ဦးကို အမေရိကန် ပိတ်ဆို့အရေးယူ,အကြမ်းဖက်မှုကြောင့် စွပ်စွဲခံရသည့် အစ္စရေးအမျိုးသား ၄ ဦးကို ဝါရှင်တန်က ပိတ်ဆို့အရေးယူ,အကြမ်းဖက်မှုတွင်ပါဝင်သည့် အစ္စရေးအမျိုးသား ၄ ဦးကို အမေရိကန် ပိတ်ဆို့အရေးယူ,အကြမ်းဖက်စစ်တပ်ဖွဲ့ဝင်အအအအအအအအအအအအအ
ဆီးရီးယားနှင့် အီရတ်ရှိ အီရန်ပစ်မှတ်များကို အမေရိကန် တိုက်ခိုက်မည်,ဆီးရီးယားနှင့် အီရတ်တွင် အီရန်ပစ်မှတ်အများအပြား တိုက်ခိုက်ရန် အစီအစဉ် အမေရိကန် အတည်ပြု,အီရန်ပစ်မှတ်များကို ရက်ရှည်တိုက်ခိုက်မည်ဟု အမေရိကန် အတည်ပြု,ဆီးရီးယားအအအအအအအအအအအမေရိကန်တိုက်ခိုက်
တူရကီရှိ အမေရိကန်စက်ရုံ စီးနင်းခံရ၊ စီးနင်းသူအား ဖမ်းမိ,တူရကီတွင် P&G စက်ရုံတွင် အလုပ်သမား ၂ ဦး ဖမ်းဆီးခံရ,တူရကီရှိ အမေရိကန်စက်ရုံ ဓားစာခံအဖြစ် ဖမ်းဆီးခံရ,တူရကီတွင်အစ္စရေးအအအအအအအအဖမ်းဆီးခံရ
"ဟားမတ်စ်တိုက်ခိုက်ရေးသမား ၄ လအတွင်း ၁၀,၀၀၀ သေဆုံးဟု အစ္စရေးပြော",ဂါဇာတောင်ပိုင်း ခန်ယိုးနစ်စ်ရှိ ဟားမတ်စ်တပ်ဖွဲ့ကို ဖြိုခွင်း,ဟားမတ်စ်တပ်ဖွဲ့ကို အစ္စရေး ဖြိုခွင်း,ဟားမတ်စ်တိုက်ခိုက်မှုကြောင့်ဟားမတ်စ်အဖွဲ့အ၀၀၀၀ကျော်သေဆုံး
မက်တာကုမ္ပဏီက ပထမဆုံးအကြိမ် အမြတ်ခွဲဝေ၊ ရှယ်ယာစျေးတက်,ဖေ့စ်ဘွတ်ခ် လူမှုကွန်ရက် အနှစ် ၂၀ မပြည့်မီ ရက်ပိုင်းအတွင်း မိခင်ကုမ္ပဏီ မက်တာက ပထဆုံးအကြိမ် အမြတ်ခွဲဝေမှုလုပ်မည်,မိခင်ကုမ္ပဏီ မက်တာက ပထဆုံးအကြိမ်အမြတ်ခွဲဝေမှုလုပ်မည်,အမျိုးသမီးအအအအအအအအအအအအအအအအ
ယူကရိန်း ဒရုန်းဖြင့်ပစ်ခတ်မှုကြောင့် ရုရှားစစ်သင်္ဘော နစ်မြုပ်,ခရိုင်းမီးယားကမ်းလွန်တွင် ရုရှားစစ်သင်္ဘောတစင်းကို ပစ်ခတ်နှစ်မြုပ်,ရုရှားစစ်သင်္ဘော ၁ စင်းကို ယူကရိန်း ပစ်ခတ်နှစ်မြုပ်,ရုရှားသမီးသင်္ဘောကိုရုရှားကရုရှားတိုက်ခိုက်
ကိုလံဘီယာတွင် ပြင်းထန်သည့် မိုးခေါင်မှု ဖြစ်,ကိုလံဘီယာတွင် မိုးခေါင်မှုကြောင့် ရေအရင်းအမြစ်များ ပျက်စီး,ကိုလံဘီယာတွင် မိုးခေါင်မှုကြောင့် ရေအရင်းအမြစ်များ ပျက်စီး,ကိုလံဘီယာတွင်ရေကြီးများများရေများရေများများများများ
ဟေတီ၌ အစိုးရကို ဆန့်ကျင် ဆန္ဒပြ,ဟေတီမြို့တော် ပို့ထ်အောပရင့်စ်တွင် အဆင်းရဲဆုံးနိုင်ငံဖြစ်ဟု ဝန်ကြီးချုပ်ပြော,လက်တင်အမေရိကနှင့် ကယ်ရစ်ဘီယံဒေသ အဆင်းရဲဆုံး ဟေတီမြို့တော်၌ ရောက်ရှိ,အကြမ်းဖက်အဖွဲ့အအအများအန္ဒပြ
ဆိုက်ဘာတိုက်ခိုက်မှုကြောင့် ကျူးဘား၌ ဓာတ်ဆီဈေး ၅ ဆတက်,ကျူးဘားတွင် ဆိုက်ဘာတိုက်ခိုက်မှုကြောင့် ဓာတ်ဆီဈေး ၅ ဆ တိုးမြင့်လာ,ကျူးဘားတွင် ဆိုက်ဘာတိုက်ခိုက်မှုကြောင့် ဓာတ်ဆီဈေး ၅ ဆတက်,ဆီနီတွင်စစ်သုံးဆီဈေးနှုန်းမြင့်တက်မှုကြောင့်အသုံးဆီဈေးနှုန်းတိုး
